location,name,address,ispotable,available,created_at,photo,description,watersourcetype
"{""latitude"": 40.71904435551498, ""longitude"": 0.3214562873246222}",FONT/FONTETA DEL BOIX 43077-0018,"43514, Mas de Barberans, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT/FONTETA DEL BOIX del MAS DE BARBERANS de la Montsià, es Ebre EBRE, L' , Ports de TortosaPorts de Tortosa",publico
"{""latitude"": 40.82976377453423, ""longitude"": 0.3170097905196558}",FONT DELS BASSIETS 43008-0049,"43528, Alfara de Carles, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DELS BASSIETS del ALFARA DE CARLES de la Baix Ebre, es Ebre EBRE, L' , Ports de Beseit (CHE)_Cat",publico
"{""latitude"": 40.91439479866693, ""longitude"": 0.3144709373262491}",FONT DE FERRASSÓ 43071-0095,"Carretera D'horta De Sant Joan 28, 43596 Horta de Sant Joan, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DE FERRASSÓ del HORTA DE SANT JOAN de la Terra Alta, es Ebre EBRE, L' , Ports de Beseit (CHE)_Cat",publico
"{""latitude"": 40.85579765342055, ""longitude"": 0.3169293483874387}",FONTS DE LA VALL D'UIXÓ 43071-0105,"Pista De Vall D'uixó, 43596 Horta de Sant Joan, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONTS DE LA VALL D'UIXÓ del HORTA DE SANT JOAN de la Terra Alta, es Ebre EBRE, L' , Ports de Beseit (CHE)_Cat",publico
"{""latitude"": 40.7517081955435, ""longitude"": 0.3215585867761031}",FONT DEL NOFRE 43133-0037,"Camí De Casetes Velles, 43529 Roquetes, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DEL NOFRE del ROQUETES de la Baix Ebre, es Ebre EBRE, L' , Ports de TortosaPorts de Tortosa",publico
"{""latitude"": 40.7517081955435, ""longitude"": 0.3215585867761031}",FONT DEL NOFRE 43133-0037,"Camí De Casetes Velles, 43529 Roquetes, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DEL NOFRE del ROQUETES de la Baix Ebre, es Ebre EBRE, L' , Ports de TortosaPorts de Tortosa",publico
"{""latitude"": 40.7517081955435, ""longitude"": 0.3215585867761031}",FONT DEL NOFRE 43133-0037,"Camí De Casetes Velles, 43529 Roquetes, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DEL NOFRE del ROQUETES de la Baix Ebre, es Ebre EBRE, L' , Ports de TortosaPorts de Tortosa",publico
"{""latitude"": 42.01958201431429, ""longitude"": 2.913687551143368}",FONT DEL ROIG 17087-0035,"Carrer De La Costa 18, 17462 Juià, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DEL ROIG del JUIÀ de la Gironès, es Conques internes de Catalunya TER, EL , Fluviodeltaic del Baix TerEmpordà",publico
"{""latitude"": 41.91817574056555, ""longitude"": 2.91413787172789}",FONT D'EN CANET 17901-0122,"Can Canet, Cruïlles - Monells i Sant Sadurní de l'Heura, Girona 17118, Spain",,,2024-05-11 16:26:21,,"FONT D'EN CANET del CRUÏLLES, MONELLS I SANT SADURNÍ DE L'HEURA de la Baix Empordà, es Conques internes de Catalunya DARÓ, EL , nan",publico
"{""latitude"": 42.25050755942857, ""longitude"": 2.91377346513038}",LA FONT DEL RAÏM 17012-0043,"Carrer Simó Llauneta 1, 17742 Avinyonet de Puigventós, Girona, Spain",,,2024-05-11 16:26:21,,"LA FONT DEL RAÏM del AVINYONET DE PUIGVENTÓS de la Alt Empordà, es Conques internes de Catalunya MUGA, LA , Detrític neogen de l'EmpordàEmpordà",publico
"{""latitude"": 41.98312551640548, ""longitude"": 2.914595091872869}",FONT D'EN LLAC 17173-0029,"Giv-6703, 17462 Sant Martí Vell, Girona, Spain",,,2024-05-11 16:26:21,,"FONT D'EN LLAC del SANT MARTÍ VELL de la Gironès, es Conques internes de Catalunya DARÓ, EL , nan",publico
"{""latitude"": 41.92593308301969, ""longitude"": 2.915073033919804}",FONT DELS CAPELLANS 17901-0150,"Gi-6642, 17118 Cruïlles - Monells i Sant Sadurní de l'Heura, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DELS CAPELLANS del CRUÏLLES, MONELLS I SANT SADURNÍ DE L'HEURA de la Baix Empordà, es Conques internes de Catalunya DARÓ, EL , nan",publico
"{""latitude"": 42.15926245495221, ""longitude"": 2.911367515513862}",FONT DEL FERRER 17016-0036,"Carrer Girona 31, 17483 Bàscara, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DEL FERRER del BÀSCARA de la Alt Empordà, es Conques internes de Catalunya FLUVIÀ, EL , Detrític neogen de l'EmpordàEmpordà",publico
"{""latitude"": 40.72576923266912, ""longitude"": 0.2475439464073351}",FONT DELS ÀNGELS / FONT DE LA COVA DELS ÀNGELS 43044-0022,"Camí De La Fou, 43560 La Sénia, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DELS ÀNGELS / FONT DE LA COVA DELS ÀNGELS del SÉNIA, LA de la Montsià, es Xúquer SÉNIA, RIU DE LA , Ports de Beseit (CHX)_Cat",publico
"{""latitude"": 42.15270914634029, ""longitude"": 2.91223118075549}",FONT DE LA BASSA DE LA CANOVA 17016-0071,"Camí De Mas D'espolla 1, 17483 Bàscara, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DE LA BASSA DE LA CANOVA del BÀSCARA de la Alt Empordà, es Conques internes de Catalunya FLUVIÀ, EL , Detrític neogen de l'EmpordàEmpordà",publico
"{""latitude"": 40.75280202919699, ""longitude"": 0.3156700890056763}",FONT DEL CÒDOL 43133-0528,"Camí De Casetes Velles, 43529 Roquetes, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DEL CÒDOL del ROQUETES de la Baix Ebre, es Ebre EBRE, L' , Ports de TortosaPorts de Tortosa",publico
"{""latitude"": 40.7244861639665, ""longitude"": 0.317062264303664}",FONT DE LA LLUÏSA 43077-0019,"43514, Mas de Barberans, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DE LA LLUÏSA del MAS DE BARBERANS de la Montsià, es Ebre EBRE, L' , Ports de TortosaPorts de Tortosa",publico
