location,name,address,ispotable,available,created_at,photo,description,watersourcetype
"{""latitude"": 41.415789, ""longitude"": 2.150055}",06-007. FONT DE SANT SALVADOR 06-007,"Font de Sant Salvador,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.418712, ""longitude"": 2.146653}",06-008. Piscines de la Creueta del Coll 06-008,"Piscines de la Creueta del Coll,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.401849, ""longitude"": 2.16638}",06-009. Font d'Hèrcules 06-009,"Font d'Hèrcules,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.397195, ""longitude"": 2.155526}",06-010. Font de la Plaça de Narcís Oller 06-010,"Font de la Plaça de Narcís Oller,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.415767, ""longitude"": 2.136956}",06-011. Xip-Xap - Jocs Olímpics de 1992 06-011,"Xip-Xap - Commemoració dels Jocs Olímpics de 1992,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.407069, ""longitude"": 2.14995}",06-012. Cascada de la Plaça de Lesseps 06-012,"Cascada de la Plaça de Lesseps,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.407271, ""longitude"": 2.150506}",06-013. Guèiser Circular de la Plaça de Lesseps 06-013,"Guèiser Circular de la Plaça de Lesseps,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.403592, ""longitude"": 2.164042}",06-014. PASSEIG SANT JOAN - MARIA CLARET MUNTANYA 06-014,"Pg Sant Joan - St Antoni Maria Claret Muntanya,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.403445, ""longitude"": 2.164226}",06-015. PASSEIG SANT JOAN - MARIA CLARET MAR 06-015,"Pg Sant Joan - St Antoni Maria Claret Mar,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.413669, ""longitude"": 2.152861}",06-016. Font del Drac - Parc Güell 06-016,"Font del Drac - Parc Güell,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.419436, ""longitude"": 2.168519}",07-002. Font del Parc del Guinardó 07-002,"Font del Parc del Guinardó,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.413101, ""longitude"": 2.165033}",07-003. Bassa del Parc de les Aigües 07-003,"Bassa del Parc de les Aigües,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.414999, ""longitude"": 2.166298}",07-004. Font Castellana (2 vasos) 07-004,"Font Castellana (2 vasos),  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.409643, ""longitude"": 2.168856}",07-005. Làmina dels Jardins del Príncep de Girona 07-005,"Làmina dels Jardins del Príncep de Girona,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.428633, ""longitude"": 2.129475}",07-006. Font del Roure 07-006,"Font del Roure,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.426666, ""longitude"": 2.136564}",07-007. Font de la Plaça de Meguidó 07-007,"Font de la Plaça de Meguidó,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.428785, ""longitude"": 2.145805}",07-008. Cabriola - Jocs Olímpics de 1992 07-008,"Cabriola - Commemoració dels Jocs Olímpics de 1992,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.431316, ""longitude"": 2.143092}",07-009. Ritme i Projecció - Font de Pla de Montbau 07-009,"Ritme i Projecció - Font de Pla de Montbau,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.439084, ""longitude"": 2.146752}",07-010. Font del Pati d'Accés - Parc del Laberint 07-010,"Font del Pati d'Accés - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.439414, ""longitude"": 2.146741}",07-011. Jardí dels Boixos - Muntanya - P Laberint 07-011,"Font del Jardí dels Boixos - Muntanya - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.439462, ""longitude"": 2.146633}",07-012. Jardí dels Boixos - Mar - Parc Laberint 07-012,"Font del Jardí dels Boixos - Mar - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.439854, ""longitude"": 2.146726}",07-013. Cascada Camèlies - Jardí Domèstic - P Lab 07-013,"Cascada Camèlies - Jardí Domèstic - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.438804, ""longitude"": 2.147013}",07-014. Aparcament Besòs - Parc del Laberint 07-014,"Zona Aparcament Besòs - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.43889, ""longitude"": 2.147125}",07-015. Aparcament Llobregat - Parc del Laberint 07-015,"Zona Aparcament Llobregat - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.438861, ""longitude"": 2.146432}",07-016. Font Heràldica - Parc del Laberint 07-016,"Font Heràldica - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.43942, ""longitude"": 2.145813}",07-017. Font del Tennis - Parc del Laberint 07-017,"Font del Tennis - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.43982, ""longitude"": 2.146322}",07-018. Estany del Faune - Parc del Laberint 07-018,"Estany del Faune - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.439745, ""longitude"": 2.146344}",07-019. Font de la Bèstia - Parc del Laberint 07-019,"Font de la Bèstia - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.440299, ""longitude"": 2.145633}",07-020. Font Vegetal - Parc del Laberint 07-020,"Font Vegetal - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.440382, ""longitude"": 2.145484}",07-021. Gruta d'Eco i Narcís - Parc del Laberint 07-021,"Gruta d'Eco i Narcís - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.4403, ""longitude"": 2.145378}",07-022. Templet de Dànae - Llobregat - P Laberint 07-022,"Templet de Dànae - Llobregat - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.44048, ""longitude"": 2.145547}",07-023. Templet d'Ariadna - Besòs - Parc Laberint 07-023,"Templet d'Ariadna - Besòs - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.440457, ""longitude"": 2.145336}",07-024. Font Ovalada - Canal Romàntic - P Laberint 07-024,"Font Ovalada sota el Canal Romàntic - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.440591, ""longitude"": 2.145105}",07-025. Font Rectangular - Canal Romàntic - P Lab 07-025,"Font Rectangular sobre el Canal Romàntic - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.440744, ""longitude"": 2.144826}",07-026. Estany dels Dofins - Parc del Laberint 07-026,"Estany dels Dofins - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.440871, ""longitude"": 2.144586}",07-027. Nimfa Egèria - Parc del Laberint (2 Vasos) 07-027,"Font de la Nimfa Egèria - Parc del Laberint (2 vasos),  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.441527, ""longitude"": 2.144851}",07-028. Estany Forestal - Parc del Laberint 07-028,"Estany Forestal - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.440386, ""longitude"": 2.144207}",07-029. Estany d'Enees - Parc del Laberint 07-029,"Estany d'Enees - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.440204, ""longitude"": 2.143998}",07-030. Gran Cascada i Bassa de Recollida - P Lab 07-030,"Gran Cascada i Bassa de Recollida - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.439305, ""longitude"": 2.144698}",07-031. Font Romàntica - Parc del Laberint 07-031,"Font Romàntica - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.439202, ""longitude"": 2.145224}",07-032. Estany Inferior del Jardí Romàntic - P Lab 07-032,"Estany Inferior del Jardí Romàntic - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.439473, ""longitude"": 2.144542}",07-033. Estany Superior del Jardí Romàntic - P Lab 07-033,"Estany Superior del Jardí Romàntic - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.440453, ""longitude"": 2.145075}",07-035. Canal Romàntic - Parc del Laberint 07-035,"Canal Romàntic - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.438559, ""longitude"": 2.145809}",07-036. Bassa de les Bombes - Parc del Laberint 07-036,"Bassa de les Bombes - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.440469, ""longitude"": 2.146194}",07-037. Font de Torre Jussana 07-037,"Font de Torre Jussana,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.438988, ""longitude"": 2.14528}",07-039. Canal del Jardí Romàntic - Parc Laberint 07-039,"Canal del Jardí Romàntic - Parc del Laberint,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.430705, ""longitude"": 2.155529}",07-040. Font de les Rieres d'Horta 07-040," ,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.423519, ""longitude"": 2.145668}",Font de la Plaça Isop 07-041,"Plaça d'Isop nº5,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
